price,location,bedrooms,toilet,garage,LT,LB
6500000000,"kertajaya, Surabaya",4.0,4.0,2.0,12.0,300.0
1900000000,"Soekarno Hatta, Bandung",3.0,2.0,1.0,90.0,140.0
350000000,"Pondok Ranggon, Jakarta Timur",2.0,1.0,,40.0,32.0
1350000000,"Regol, Bandung",4.0,2.0,,140.0,130.0
795000000,"Duta Harapan, Bekasi",3.0,1.0,1.0,0.72,0.72
2900000000,"Rawa Buaya, Jakarta Barat",6.0,4.0,2.0,84.0,144.0
520000000,"Mustikajaya, Bekasi",2.0,1.0,,5.0,5.0
1900000000,"Balong Sari, Surabaya",3.0,4.0,,144.0,250.0
450000000,"Banguntapan, Bantul",2.0,1.0,1.0,77.0,45.0
550000000,"Makasar, Jakarta Timur",2.0,2.0,1.0,29.0,50.0
104000000000,"Pisangan Lama, Jakarta Timur",3.0,3.0,1.0,50.0,70.0
3590000000,"Cijagra, Bandung",5.0,2.0,2.0,230.0,250.0
1500000000,"Kedung Halang, Bogor",3.0,3.0,1.0,88.0,89.0
1350000000,"Medan Selayang, Medan",3.0,3.0,1.0,90.0,130.0
786000000,"Ngaliyan, Semarang",,,,194.0,58.0
877000000,"Kartasura, Sukoharjo",1.0,1.0,,150.0,113.0
960000000,"Medan Johor, Medan",3.0,2.0,1.0,138.0,80.0
399000000,"Semarang Barat, Semarang",3.0,1.0,1.0,60.0,60.0
1000000000,"Sawangan, Depok",4.0,4.0,2.0,77.0,101.0
26000000000,"Cipete, Jakarta Selatan",6.0,6.0,6.0,1162.0,800.0
3300000000,"Bintaro, Tangerang Selatan",4.0,3.0,2.0,9.0,9.0
4900000000,"Sunter, Jakarta Utara",,,,180.0,250.0
4600000000,"Cakung, Jakarta Timur",5.0,4.0,2.0,112.0,156.0
8900000000,"Sunter, Jakarta Utara",4.0,3.0,,,500.0
3500000000,"Sunter, Jakarta Utara",3.0,2.0,,90.0,150.0
5800000000,"Pantai Indah Kapuk, Jakarta Utara",4.0,3.0,2.0,175.0,250.0
19500000000,"Kelapa Gading, Jakarta Utara",5.0,5.0,4.0,513.0,800.0
3890000000,"BSD, Tangerang Selatan",5.0,6.0,2.0,160.0,240.0
7500000000,"Kelapa Gading, Jakarta Utara",4.0,4.0,2.0,160.0,250.0
13200000000,"Pantai Indah Kapuk, Jakarta Utara",3.0,3.0,2.0,300.0,475.0
1720000000,"Kelapa Gading, Jakarta Utara",3.0,2.0,1.0,75.0,90.0
4800000000,"Sunter, Jakarta Utara",7.0,4.0,2.0,200.0,350.0
490000000,"Sawangan, Depok",2.0,1.0,1.0,72.0,50.0
5500000000,"Kelapa Gading, Jakarta Utara",6.0,5.0,3.0,153.0,450.0
10900000000,"Bintaro, Jakarta Selatan",6.0,6.0,,823.0,823.0
3500000000,"Bintaro, Tangerang Selatan",4.0,3.0,2.0,120.0,140.0
2200000000,"Bintaro, Tangerang Selatan",4.0,3.0,2.0,84.0,101.0
3600000000,"Kelapa Gading, Jakarta Utara",4.0,4.0,1.0,3.0,3.0
8700000000,"Pantai Indah Kapuk, Jakarta Utara",4.0,3.0,2.0,200.0,280.0
1300000000,"Limo, Depok",3.0,2.0,1.0,60.0,60.0
1500000000,"Bojongsoang, Bandung",2.0,1.0,1.0,90.0,73.0
2800000000,"Jati Asih, Bekasi",3.0,3.0,1.0,120.0,140.0
6900000000,"Kebayoran Baru, Jakarta Selatan",4.0,4.0,2.0,76.0,375.0
3500000000,"Meruya, Jakarta Barat",4.0,2.0,2.0,2.0,2.0
1750000000,"Taman Meruya, Jakarta Barat",2.0,2.0,1.0,120.0,90.0
5300000000,"Kav DKI, Jakarta Barat",4.0,4.0,3.0,375.0,436.0
2500000000,"Pancoran, Jakarta Selatan",2.0,2.0,1.0,111.0,105.0
750000000,"Kramat Jati, Jakarta Timur",2.0,1.0,1.0,1.0,1.0
3100000000,"Citra Garden, Jakarta Barat",3.0,2.0,1.0,2.0,2.0
365000000,"Jonggol, Bogor",3.0,2.0,1.0,72.0,72.0
1350000000,"Cinere, Depok",3.0,2.0,1.0,60.0,90.0
1400000000,"Kota Wisata, Bogor",2.0,2.0,1.0,72.0,70.0
1230000000,"Cikupa Citra Raya, Tangerang",3.0,2.0,1.0,120.0,136.0
3600000000,"Alam Sutera, Tangerang",3.0,3.0,1.0,170.0,200.0
7250000000,"Cipete, Jakarta Selatan",4.0,2.0,1.0,330.0,490.0
25500000000,"Jagakarsa, Jakarta Selatan",5.0,4.0,8.0,2999.0,500.0
1300000000,"Sawangan, Depok",3.0,2.0,1.0,60.0,60.0
21000000000,"Ampera, Jakarta Selatan",4.0,3.0,9.0,1034.0,500.0
5800000000,"Pantai Indah Kapuk, Jakarta Utara",4.0,3.0,2.0,175.0,250.0
1100000000,"Lippo Cikarang, Cikarang",3.0,3.0,1.0,64.0,72.0
281000000,"Cakung, Jakarta Timur",2.0,1.0,,93.0,93.0
13800000000,"Puri Indah, Jakarta Barat",3.0,2.0,4.0,532.0,203.0
19500000000,"Kelapa Gading, Jakarta Utara",5.0,5.0,4.0,513.0,800.0
3890000000,"BSD, Tangerang Selatan",5.0,6.0,2.0,160.0,240.0
7500000000,"Kelapa Gading, Jakarta Utara",4.0,4.0,2.0,160.0,250.0
13200000000,"Pantai Indah Kapuk, Jakarta Utara",3.0,3.0,2.0,300.0,475.0
1720000000,"Kelapa Gading, Jakarta Utara",3.0,2.0,1.0,75.0,90.0
1750000000,"Pantai Indah Kapuk, Jakarta Utara",2.0,2.0,1.0,48.0,96.0
9000000000,"Pantai Indah Kapuk, Jakarta Utara",4.0,3.0,,1.0,1.0
4800000000,"Sunter, Jakarta Utara",7.0,4.0,2.0,200.0,350.0
